COMP4963|5555555|Student, Fake                                     |9999/1|FAKEAA|099.99|22T2|20000122|F               
COMP9517|5251109|Chan, Andrew Tony Ethan                           |3785/4|COMPAS COMPSS|068.891|22T2|19940113|M
COMP9024|5204080|Zhong, Richard Jonathan                           |7003/1|MTRNAH|083.614|22T2|20000308|M
DPBS1120|5250350|Kim, Joe                                          |3970/3|ELECBH|067.052|22T2|19970909|M
COMP6447|5210802|Song, Richard Wenbo Rui Zheng                     |7002/1|MTRNAH|060.373|22T2|19960604|M
COMP9313|5212038|Deng, Ivan Caleb                                  |3785/2|MTRNAH|073.122|22T2|20031123|M
COMP2521|5215694|Peng, Victor Jacob Sean                           |3762/1|COMPY1|053.049|22T2|20020819|M
DPST1071|5280159|Xie, Joshua                                       |3785/2|MTRNAH|069.942|22T2|19930519|M
COMP2511|5294987|Liang, Justin                                     |3707/1|COMPAS|065.961|22T2|19981029|M
COMP9311|5249965|Zhu, Mohammad Christian Haotian                   |3707/1|COMPBH|074.790|22T2|19890811|M
COMP3511|5217133|Liu, Samuel Kai                                   |3778/2|COMPA1|051.819|22T2|19960105|M
COMP1521|5216118|Xie, Jenny                                        |3707/4|SENGAH|044.510|22T2|19981116|F
COMP1521|5229831|Wu Xavier, Eric Zac Chun Darren                   |3778/2|COMPA1|000.000|22T2|20000405|M
COMP1511|5269439|Li Daniel, Joshua                                 |8543|COMPA1|069.028|22T2|19990503|M
COMP1010|5228383|Ren Jennifer, Mia Anna                            |4515/1|DPENS1|064.464|22T2|19960525|F
COMP6443|5250398|Wei, James Xiang Robert Jin                       |3785/5|AEROAH|057.020|22T2|19990227|M
COMP1531|5259700|Song, Caleb                                       |3959/2|SENGAH|053.396|22T2|19971121|M
COMP1511|5231218|Wu, Michelle                                      |3707/1|SENGAH|045.779|22T2|20010425|F
COMP6447|5220267|Liu, Nicole Grace Emily                           |3778/1|COMPA1|067.706|22T2|20021122|F
COMP9517|5252371|Yao, Sarah Natalie                                |3959/2|DPENX1|060.415|22T2|19970820|F
COMP6771|5211944|Zhang, Samuel Oscar                               |3778/3|COMPA1|054.927|22T2|19931025|M
COMP6771|5251645|Li, Jeremy Kevin Winston                          |3778/2|COMPAS|021.349|22T2|19941101|M
COMP2521|5201134|Zhou, Steven Brandon                              |3778/1|SENGAH|056.370|22T2|20030423|M
COMP9447|5295624|Li, Daniel Andrew                                 |3707/1|COMPA1|038.850|22T2|19941010|M
COMP2041|5206675|Gupta, Patrick Aryan                              |3785/5|ACTLD1|071.533|22T2|19970530|M
COMP4336|5268578|Yang, Xin Vivian                                  |3785/2|COMPA1 LAWSA1|068.452|22T2|20000311|F
DPBS1150|5208564|Qian, Yuhao Jay Adrian                            |3706/3|INTAAH|052.973|22T2|19980610|M
BIOM9420|5276765|Yan, Danny Evan                                   |3784/4|ACTLD1 COMPA1|076.699|22T2|20011231|M
COMP9444|5215085|Chen Jesse, Anthony Brian                         |3778/2|COMPA1|060.251|22T2|19980725|M
COMP2511|5270213|Pham, Xiang                                       |3736/3|MATHEH|090.388|22T2|19990426|M
COMP9414|5245884|Chen, Richard Alexander                           |8543|SENGAH|054.708|22T2|19940714|M
COMP9444|5225853|Tan, Bill Simon Robert                            |3959/1|CEICAH|080.506|22T2|20020126|M
COMP3900|5205626|Zhou, Nicholas                                    |3778/1|COMPCS|089.140|22T2|20030721|M
DPBS1150|5224615|Du Frank, James Yi                                |3785/4|LAWSA1|032.135|22T2|20000807|M
DPST1014|5206371|Xue, Gabriel Ken                                  |3707/3|COMPA1 INFSA1|046.454|22T2|20000725|M
COMP6771|5245678|Yang, Oscar                                       |8660/1|COMPE1|048.072|22T2|20001004|M
COMP2041|5288990|Wang, Joshua Samuel                               |3778/3|COMPA1|051.178|22T2|19980916|M
DPST1022|5205235|Kim, Yi Noah                                      |3784/1|DPBSA1|064.847|22T2|19900927|M
COMP2521|5236554|Xu, Patrick William                               |3778/1|SENGAH|046.537|22T2|20020212|M
COMP1521|5252466|Pham, Catherine                                   |3529/2|COMPI1|094.658|22T2|19970111|F
COMP1511|5294685|Tang, Aditya Ahmed Jordan                         |3778/1|DPENO1|030.179|22T2|19940324|M
COMP6447|5279256|He Ran, Anthony Tianyu                            |1650|SENGAH|040.127|22T2|20000416|M
DPGE1001|5263811|Chen, Thomas Yi                                   |3768/2|DPENH1|033.750|22T2|19991113|M
COMP2511|5220716|Lee, Simon Justin Derek                           |3784/1|COMPA1 MTRNAH|057.529|22T2|20020511|M
COMP9444|5219529|Zhou, Ethan Charles Ian Leon                      |3778/2|COMPA1|071.376|22T2|20040724|M
DPBS1190|5271091|Jackson, Rishi                                    |8959|BIOMBS|075.750|22T2|19970926|M
COMP1531|5257367|Zeng, Rui Edward Zac                              |3784/3|COMPCS|092.453|22T2|19980916|M
COMP9417|5268141|Qiu, Jenny Maria Fiona                            |3778/1|DPBSA1|066.238|22T2|19910413|F
COMP2041|5277368|Wong, Sophie Chelsea Vanessa                      |3707/1|MTRNAH|057.707|22T2|20020811|F
COMP1531|5238797|Liu, Michael Albert                               |3707/1|COMPA1|080.390|22T2|19941116|M
COMP1521|5289265|Li, Jessica Michelle                              |3707/2|UNDL-U|029.443|22T2|20040307|F
DPST1014|5264767|Gu, Rachel Maria                                  |4795/1|COMPDS|049.314|22T2|19971005|F
COMP9444|5287617|Zhou, Catherine Lucy Tina Vivian                  |3785/5|COMPAS|093.046|22T2|20000906|F
COMP9517|5275233|Wang, Jessica Olivia Natalie                      |3778/2|COMPA1|054.935|22T2|19970619|F
COMP2521|5260546|Qiu, Callum Jiaqi Dylan Anton                     |3768/5|COMPY1|070.387|22T2|20031114|M
DPST1013|5235829|Huang Aryan, Callum Samuel Jimmy                  |8750/1|COMPER|050.412|22T2|19940721|M
COMP2041|5290488|Bai, Dylan Tian Wei                               |3781/2|BIOMBS|000.000|22T2|20000407|M
DPGE1002|5213673|Zhou, William Ray                                 |3778/1|COMPCS|012.739|22T2|20031007|M
